date,Froment,Seigle,Orge,Avoine
05 janvier 1549,2.88,1.75,1.44,2.13
01 février 1549,2.75,1.63,1.4,2.06
02 mars 1549,2.88,1.88,1.38,1.9
06 avril 1549,2.75,1.75,1.38,2
04 mai 1549,2.75,1.63,1.5,2.19
01 juin 1549,2.67,1.63,1.5,2.31
06 juillet 1549,2.83,1.56,1.5,2.13
03 août 1549,3.13,1.75,1.25,2.13
07 septembre 1549,3.21,1.75,1.38,1.94
05 octobre 1549,3.75,2.31,1.63,2
02 novembre 1549,3.75,2.38,1.63,2.38
07 décembre 1549,4.54,2.5,1.88,2.25
04 janvier 1550,4.67,2.75,1.9,2.13
01 février 1550,4.38,2.38,1.81,2
01 mars 1550,4.5,2.5,1.85,2.13
05 avril 1550,4.17,2.75,2,2.2
03 mai 1550,4.25,2.75,2.25,2.5
07 juin 1550,3.88,2.69,2,2.88
05 juillet 1550,4.42,2.75,2.06,3.13
02 août 1550,3.92,2,1.75,3.13
06 septembre 1550,3.5,2,1.56,2.44
04 octobre 1550,3.33,2,1.69,2.56
05 novembre 1550,3.38,2,1.56,2.63
06 décembre 1550,3.5,2.13,1.63,2.31
03 janvier 1551,3.67,2.13,1.75,2.38
04 février 1551,3.58,2.25,1.75,2.5
04 mars 1551,3.63,2.13,1.75,2.5
01 avril 1551,3.25,2,1.75,2.5
02 mai 1551,3.25,1.88,1.88,2.25
03 juin 1551,3.44,2.25,1.88,2.25
01 juillet 1551,3.58,2.25,1.75,1.75
01 août 1551,4.58,2.5,1.31,1.63
02 septembre 1551,4.83,2.63,1.75,2
03 octobre 1551,5.58,3.63,2.31,2.5
04 novembre 1551,5.02,4.13,2.25,2.5
02 décembre 1551,5.58,4,2.5,2.25
02 janvier 1552,5.75,3.75,2.75,2.25
03 février 1552,5.92,4.13,3,2.31
02 mars 1552,5.5,4,3.25,2.63
02 avril 1552,5.25,3.75,3,2.88
04 mai 1552,5,3.63,2.75,2.75
01 juin 1552,4.58,3,2.13,2.75
02 juillet 1552,4.83,2.38,1.5,2.63
03 août 1552,4.25,2.5,1.5,2.56
03 septembre 1552,3.83,2.25,1.38,2.25
01 octobre 1552,3.88,2.5,1.69,2.56
02 novembre 1552,3.92,2.5,1.63,2.31
03 décembre 1552,3.88,2.13,1.5,2.25
04 janvier 1553,3.67,2,1.63,2.25
01 février 1553,3.75,2,1.63,2.25
01 mars 1553,3.5,2,1.63,2.38
01 avril 1553,3.58,2,1.63,2.56
03 mai 1553,3.63,2.25,2,2.75
03 juin 1553,4,2.69,2.19,3.25
01 juillet 1553,4.42,3.25,2,3.38
02 août 1553,4,2.38,1.5,3.19
02 septembre 1553,3.46,2.13,1.63,2.75
04 octobre 1553,3.75,2.63,1.63,2.75
04 novembre 1553,3.75,2.88,1.81,3
02 décembre 1553,3.75,2.5,1.88,3
03 janvier 1554,3.75,2.5,1.75,3.75
03 février 1554,3.5,2.25,1.75,2.75
03 mars 1554,3.5,2.25,1.75,2.88
03 avril 1554,3.25,2,1.56,2.5
02 mai 1554,3.21,2,1.5,2.5
02 juin 1554,3.33,2.19,1.88,2.69
04 juillet 1554,3.29,1.88,1.44,2.63
01 août 1554,3,1.81,1.38,2.31
01 septembre 1554,2.88,1.88,1.5,2.34
03 octobre 1554,3,2,1.5,2.63
03 novembre 1554,3,1.88,1.63,2.81
01 décembre 1554,2.75,1.88,1.5,2.63
02 janvier 1555,3,2,1.5,2.88
01 février 1555,2.75,1.75,1.38,2.75
02 mars 1555,2.83,1.63,1.63,2.75
03 avril 1555,2.67,1.56,1.5,2.63
01 mai 1555,2.75,1.75,1.63,2.69
01 juin 1555,2.67,1.75,1.56,2.56
03 juillet 1555,2.83,1.56,1.5,2.5
03 août 1555,2.83,1.88,1.75,2.6
04 septembre 1555,3.42,2.13,1.88,2.63
02 octobre 1555,3.58,2.38,1.75,2.38
03 novembre 1555,4,2.63,1.75,2.5
04 décembre 1555,4.25,2.75,2.13,2.75
01 janvier 1556,4.38,2.88,2.13,2.5
01 mai 1557,6,4.63,3.25,4
02 juin 1557,6,4.5,3.25,4.25
03 juillet 1557,6.13,3.5,2.25,3.75
04 août 1557,6,2.25,1.38,2.38
01 septembre 1557,3.5,1.75,1.38,2.06
02 octobre 1557,4.13,2.38,1.5,2.63
03 novembre 1557,3.5,2.13,1.5,2.63
01 décembre 1557,3.33,1.88,1.38,2.38
01 janvier 1558,9,6.38,5.5,7
01 février 1558,9,6.25,5.25,6.88
02 mars 1558,9.25,6.25,6,7.25
02 avril 1558,11.63,8.5,7.25,7
04 mai 1558,11.25,6.25,6,6.75
01 juin 1558,8,3.38,3.63,6.25
02 juillet 1558,6,2.75,2.25,4.5
03 août 1558,5.13,2.4,1.9,3.88
03 septembre 1558,5.25,2.5,1.8,4
01 octobre 1558,5.42,3,1.9,4.6
02 novembre 1558,4.88,2.8,2.1,4.5
03 décembre 1558,5.25,2.25,1.9,4.5
04 janvier 1559,4.75,2.5,2,4
01 février 1559,4.88,2.8,2.1,4.3
01 mars 1559,5.5,3,2.2,4.3
01 avril 1559,5.54,3,2.5,4.25
03 mai 1559,5.75,2.8,3,4.25
03 juin 1559,6,3.6,3,4.25
01 juillet 1559,5.83,2.8,2.7,3.75
02 août 1559,5.75,3,2.25,3.5
02 septembre 1559,6,3.5,2.1,3.1
04 octobre 1559,5.92,3.5,2.2,3.5
04 novembre 1559,5.25,3.5,2.5,3.35
02 décembre 1559,5.63,3.15,2.3,3.35
03 janvier 1560,5.38,3.5,2.3,3.25
03 février 1560,5.65,3,2.3,3.6
02 mars 1560,5.33,3,2.2,3.5
03 avril 1560,5.33,3,2.2,3.2
01 mai 1560,5.5,3,2.2,3.2
01 juin 1560,5.25,3.5,2.5,3.4
03 juillet 1560,4.88,2.4,2.3,2.9
03 août 1560,5.58,2.65,1.95,3.2
04 septembre 1560,5.58,3,2,3.15
02 octobre 1560,5.88,4,2.4,3.6
02 novembre 1560,5.88,4.25,2.7,4
04 décembre 1560,6,3.75,2.8,4
"01,janvier 1561",4.25,2.25,1.63,2.19
01 février 1561,4.13,2.13,1.63,2.41
01 mars 1561,4.44,2.13,1.75,2.28
02 avril 1561,4,2.13,1.75,2.28
03 mai 1561,4.25,2.13,1.88,2.41
04 juin 1561,4.38,2.13,1.9,3.15
02 juillet 1561,3.92,2,1.63,2.44
02 août 1561,4.21,2.5,1.81,2.63
03 septembre 1561,4.75,2.5,1.88,3.15
01 octobre 1561,5.88,4,2.75,3.61
05 novembre 1561,5.63,3.63,2.5,3.41
03 décembre 1561,5.25,3.13,2.5,3.15
03 janvier 1562,5.4,3.38,2.5,3.32
04 février 1562,5.75,3.88,3,3.59
04 mars 1562,5.5,3.5,3,3.5
01 avril 1562,5.63,3.63,2.88,3.5
02 mai 1562,5.5,3.38,2.63,3.5
03 juin 1562,5.63,3.25,2.13,3.68
01 juillet 1562,6,4,2.38,3.5
01 août 1562,6.5,3.75,2.63,3.32
02 septembre 1562,6.33,4,2.75,2.63
03 octobre 1562,7.17,5.38,3.13,3.17
04 novembre 1562,7.25,5.63,3.5,2.97
02 décembre 1562,9,6,4.25,4.38
02 janvier 1563,8.5,5.75,5,3.68
03 février 1563,8.5,5.38,4.75,3.32
03 mars 1563,7.75,5.25,4.75,3.06
03 avril 1563,7.83,4.88,4.38,3.06
01 mai 1563,8.25,5.63,5,3.5
02 juin 1563,8.46,5,4.13,3.32
03 juillet 1563,8,4.38,3.38,3.5
04 août 1563,5.5,2.88,2,3.17
01 septembre 1563,5.25,3,2,3.5
02 octobre 1563,5.17,3.38,2,3.94
03 novembre 1563,4.63,2.88,2.5,3.72
01 décembre 1563,4.5,2.5,2.25,3.68
01 janvier 1564,4.42,2.31,2.13,3.68
01 février 1564,4,2.13,2.15,3.59
01 mars 1564,4,2,1.9,3.5
01 avril 1564,3.63,1.75,1.75,3.32
03 mai 1564,3.33,2.5,1.88,2.88
03 juin 1564,3.75,2.13,2,3
01 juillet 1564,3.75,2.25,1.5,2.88
02 août 1564,4.17,1.88,1.25,2.63
02 septembre 1564,4.29,1.88,1.5,2.75
04 octobre 1564,4,2.25,1.63,2.9
04 novembre 1564,4.08,2.25,1.75,3
02 décembre 1564,4.08,1.92,1.75,2.75
03 janvier 1565,4.5,2.13,1.75,3.25
03 février 1565,4.25,2.25,1.9,2.9
03 mars 1565,4.75,2.25,2,3.15
04 avril 1565,4.5,2.75,2.19,3.13
02 mai 1565,5,2.88,2.63,3.25
02 juin 1565,6.38,4,3.25,3.5
04 juillet 1565,6.33,3.75,3.5,3.75
01 août 1565,6.67,4.25,3.38,3.38
01 septembre 1565,9.75,5.38,4,4
03 octobre 1565,10.67,7.25,5.5,4.5
03 novembre 1565,9.75,6.5,5.5,4.13
01 décembre 1565,10.67,7.75,7,5
02 janvier 1566,10.75,8.25,7.5,5.38
01 février 1566,10.38,7.5,6.5,5
02 mars 1566,10.25,7.25,6.5,5
03 avril 1566,9.5,7.25,6,5
01 mai 1566,10.25,8,6.25,6.25
